"";"TITULOS";"Directores";"NOTASPROMEDIO";"LINKSPELICULAS";"REVIEW"
"1";"El padrino  (1972)   ";"Francis Ford Coppola";"9,0";"https://www.filmaffinity.com/cl/film809297.html";"171.163 "
"2";"El Padrino: Parte II  (1974)   ";"Francis Ford Coppola";"8,9";"https://www.filmaffinity.com/cl/film730528.html";"136.358 "
"3";"12 hombres en pugna  (1957)   ";"Sidney Lumet";"8,7";"https://www.filmaffinity.com/cl/film695552.html";"67.594 "
"4";"La lista de Schindler  (1993)   ";"Steven Spielberg";"8,6";"https://www.filmaffinity.com/cl/film656153.html";"171.642 "
"5";"Testigo de cargo  (1957)   ";"Billy Wilder";"8,6";"https://www.filmaffinity.com/cl/film667376.html";"43.025 "
"6";"Luces de la ciudad  (1931)   ";"Charles Chaplin";"8,6";"https://www.filmaffinity.com/cl/film750301.html";"31.763 "
"7";"Sueños de libertad  (1994)   ";"Frank Darabont";"8,6";"https://www.filmaffinity.com/cl/film161026.html";"165.584 "
"8";"Tiempos violentos  (1994)   ";"Quentin Tarantino";"8,6";"https://www.filmaffinity.com/cl/film160882.html";"199.204 "
"9";"El gran dictador  (1940)   ";"Charles Chaplin";"8,6";"https://www.filmaffinity.com/cl/film155010.html";"84.311 "
"10";"Tiempos modernos  (1936)   ";"Charles Chaplin";"8,6";"https://www.filmaffinity.com/cl/film726746.html";"61.894 "
"11";"El golpe  (1973)   ";"George Roy Hill";"8,5";"https://www.filmaffinity.com/cl/film385464.html";"98.388 "
"12";"Ser o no ser  (1942)   ";"Ernst Lubitsch";"8,5";"https://www.filmaffinity.com/cl/film684718.html";"34.320 "
"13";"Harakiri  (1962)   ";"Masaki Kobayashi";"8,5";"https://www.filmaffinity.com/cl/film209631.html";"11.377 "
"14";"El ocaso de una vida  (1950)   ";"Billy Wilder";"8,5";"https://www.filmaffinity.com/cl/film536488.html";"44.946 "
"15";"La vida es bella  (1997)   ";"Roberto Benigni";"8,5";"https://www.filmaffinity.com/cl/film594480.html";"188.738 "
"16";"La malvada  (1950)   ";"Joseph L. Mankiewicz";"8,5";"https://www.filmaffinity.com/cl/film412657.html";"34.580 "
"17";"La patrulla infernal  (1957)   ";"Stanley Kubrick";"8,4";"https://www.filmaffinity.com/cl/film448956.html";"54.115 "
"18";"Los siete samurais  (1954)   ";"Akira Kurosawa";"8,4";"https://www.filmaffinity.com/cl/film168398.html";"41.221 "
"19";"Pacto de sangre  (1944)   ";"Billy Wilder";"8,4";"https://www.filmaffinity.com/cl/film207165.html";"32.511 "
"20";"Amanecer  (1927)   ";"F.W. Murnau";"8,4";"https://www.filmaffinity.com/cl/film357856.html";"13.836 "
"21";"El cielo y el infierno  (1963)   ";"Akira Kurosawa";"8,4";"https://www.filmaffinity.com/cl/film914275.html";"8.725 "
"22";"Twin Peaks The Return: Gotta Light? (TV) (2017)   ";"David Lynch";"8,4";"https://www.filmaffinity.com/cl/film711648.html";"63 "
"23";"Piso de soltero  (1960)   ";"Billy Wilder";"8,4";"https://www.filmaffinity.com/cl/film795770.html";"79.323 "
"24";"Ciudad de Dios  (2002)   ";"Fernando Meirelles, Kátia Lund";"8,4";"https://www.filmaffinity.com/cl/film412004.html";"124.568 "
"25";"El chico  (1921)   ";"Charles Chaplin";"8,4";"https://www.filmaffinity.com/cl/film344683.html";"31.787 "
"26";"La evasión  (1960)   ";"Jacques Becker";"8,4";"https://www.filmaffinity.com/cl/film803236.html";"11.847 "
"27";"Psicosis  (1960)   ";"Alfred Hitchcock";"8,4";"https://www.filmaffinity.com/cl/film363992.html";"106.593 "
"28";"La quimera del oro  (1925)   ";"Charles Chaplin";"8,4";"https://www.filmaffinity.com/cl/film811454.html";"27.011 "
"29";"Buenos muchachos  (1990)   ";"Martin Scorsese";"8,4";"https://www.filmaffinity.com/cl/film978961.html";"110.079 "
"30";"Casablanca  (1942)   ";"Michael Curtiz";"8,4";"https://www.filmaffinity.com/cl/film165208.html";"95.644 "
